loss: 1.3478, acc: 0.4147, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3521, acc: 0.4173, test_acc: 0.6500, test_f1: 0.2626
loss: 1.4339, acc: 0.4183, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3280, acc: 0.4211, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3920, acc: 0.4228, test_acc: 0.6500, test_f1: 0.2626
loss: 1.4212, acc: 0.4244, test_acc: 0.6500, test_f1: 0.2626
loss: 1.4168, acc: 0.4260, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3584, acc: 0.4290, test_acc: 0.6500, test_f1: 0.2626
loss: 1.2846, acc: 0.4326, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3940, acc: 0.4333, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3003, acc: 0.4361, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3978, acc: 0.4365, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3580, acc: 0.4385, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3953, acc: 0.4392, test_acc: 0.6500, test_f1: 0.2626
loss: 1.4427, acc: 0.4405, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3097, acc: 0.4430, test_acc: 0.6500, test_f1: 0.2626
loss: 1.4128, acc: 0.4439, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3694, acc: 0.4455, test_acc: 0.6500, test_f1: 0.2626
loss: 1.2953, acc: 0.4485, test_acc: 0.6500, test_f1: 0.2626
loss: 1.2665, acc: 0.4509, test_acc: 0.6500, test_f1: 0.2626
loss: 1.4509, acc: 0.4514, test_acc: 0.6500, test_f1: 0.2626
loss: 1.2849, acc: 0.4534, test_acc: 0.6500, test_f1: 0.2626
loss: 1.4085, acc: 0.4542, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3765, acc: 0.4549, test_acc: 0.6500, test_f1: 0.2626
loss: 1.2982, acc: 0.4574, test_acc: 0.6545, test_f1: 0.2801
loss: 1.3559, acc: 0.4587, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3365, acc: 0.4600, test_acc: 0.6500, test_f1: 0.2626
loss: 1.3821, acc: 0.4612, test_acc: 0.6500, test_f1: 0.2626
