loss: 1.3489, acc: 0.5054, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3538, acc: 0.5072, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4639, acc: 0.5053, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4508, acc: 0.5041, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4839, acc: 0.5026, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4422, acc: 0.5025, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4787, acc: 0.5011, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4488, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3975, acc: 0.5007, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4602, acc: 0.4993, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4015, acc: 0.4993, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4302, acc: 0.4997, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3799, acc: 0.5007, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4679, acc: 0.4990, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4176, acc: 0.4993, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4093, acc: 0.4993, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4476, acc: 0.4987, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4857, acc: 0.4968, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3927, acc: 0.4978, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4924, acc: 0.4969, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3537, acc: 0.4985, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4279, acc: 0.4982, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3976, acc: 0.4988, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4473, acc: 0.4985, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4086, acc: 0.4985, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4612, acc: 0.4982, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4555, acc: 0.4971, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4560, acc: 0.4974, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4286, acc: 0.4974, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3725, acc: 0.4989, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4482, acc: 0.4977, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3707, acc: 0.4989, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3794, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4196, acc: 0.5008, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4143, acc: 0.5014, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3952, acc: 0.5019, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3867, acc: 0.5024, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4720, acc: 0.5003, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3892, acc: 0.5005, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4356, acc: 0.5003, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4557, acc: 0.4990, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4505, acc: 0.4977, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4140, acc: 0.4977, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4433, acc: 0.4972, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4274, acc: 0.4975, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4004, acc: 0.4983, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4177, acc: 0.4983, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4292, acc: 0.4985, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3439, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3937, acc: 0.5007, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4207, acc: 0.5007, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3681, acc: 0.5014, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4061, acc: 0.5016, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3986, acc: 0.5021, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4525, acc: 0.5012, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3682, acc: 0.5021, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4286, acc: 0.5016, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4361, acc: 0.5016, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4627, acc: 0.5004, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4720, acc: 0.4998, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4552, acc: 0.4991, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4479, acc: 0.4985, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4297, acc: 0.4980, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3779, acc: 0.4985, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4188, acc: 0.4985, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3946, acc: 0.4991, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4566, acc: 0.4983, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4117, acc: 0.4987, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4110, acc: 0.4987, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4853, acc: 0.4971, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4126, acc: 0.4973, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4141, acc: 0.4967, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4091, acc: 0.4969, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3935, acc: 0.4976, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4011, acc: 0.4978, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4258, acc: 0.4978, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4118, acc: 0.4974, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4046, acc: 0.4974, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3698, acc: 0.4978, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4354, acc: 0.4977, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3956, acc: 0.4983, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4663, acc: 0.4973, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3520, acc: 0.4981, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4679, acc: 0.4971, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4056, acc: 0.4970, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3743, acc: 0.4976, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4014, acc: 0.4976, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3701, acc: 0.4983, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4502, acc: 0.4976, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3997, acc: 0.4969, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4008, acc: 0.4973, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3993, acc: 0.4975, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4568, acc: 0.4962, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4011, acc: 0.4966, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3460, acc: 0.4973, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3497, acc: 0.4979, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4299, acc: 0.4977, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4389, acc: 0.4974, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4319, acc: 0.4967, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4396, acc: 0.4964, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3695, acc: 0.4967, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3811, acc: 0.4973, test_acc: 0.4986, test_f1: 0.2254
loss: 1.3972, acc: 0.4974, test_acc: 0.5043, test_f1: 0.2505
loss: 1.3957, acc: 0.4975, test_acc: 0.5116, test_f1: 0.2761
loss: 1.3941, acc: 0.4976, test_acc: 0.5072, test_f1: 0.2552
loss: 1.4099, acc: 0.4975, test_acc: 0.5014, test_f1: 0.2263
loss: 1.4276, acc: 0.4972, test_acc: 0.5000, test_f1: 0.2258
loss: 1.4249, acc: 0.4968, test_acc: 0.5000, test_f1: 0.2258
loss: 1.3915, acc: 0.4974, test_acc: 0.5000, test_f1: 0.2258
loss: 1.4602, acc: 0.4965, test_acc: 0.5014, test_f1: 0.2263
loss: 1.3561, acc: 0.4971, test_acc: 0.5000, test_f1: 0.2258
loss: 1.4111, acc: 0.4971, test_acc: 0.5000, test_f1: 0.2258
loss: 1.4233, acc: 0.4971, test_acc: 0.5014, test_f1: 0.2263
loss: 1.3767, acc: 0.4974, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4154, acc: 0.4968, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4028, acc: 0.4963, test_acc: 0.5000, test_f1: 0.2222
loss: 1.4493, acc: 0.4957, test_acc: 0.5116, test_f1: 0.2860
loss: 1.3938, acc: 0.4954, test_acc: 0.5116, test_f1: 0.2970
loss: 1.3873, acc: 0.4958, test_acc: 0.5058, test_f1: 0.2418
loss: 1.3248, acc: 0.4963, test_acc: 0.5000, test_f1: 0.2222
loss: 1.3333, acc: 0.4966, test_acc: 0.4986, test_f1: 0.2254
loss: 1.3347, acc: 0.4969, test_acc: 0.5000, test_f1: 0.2293
loss: 1.4279, acc: 0.4965, test_acc: 0.5000, test_f1: 0.2258
loss: 1.3617, acc: 0.4963, test_acc: 0.5014, test_f1: 0.2300
loss: 1.4269, acc: 0.4962, test_acc: 0.5145, test_f1: 0.2608
loss: 1.4437, acc: 0.4959, test_acc: 0.5318, test_f1: 0.3762
loss: 1.4154, acc: 0.4956, test_acc: 0.5188, test_f1: 0.5148
loss: 1.3923, acc: 0.4964, test_acc: 0.5376, test_f1: 0.4987
loss: 1.3363, acc: 0.4967, test_acc: 0.5318, test_f1: 0.3661
loss: 1.2660, acc: 0.4979, test_acc: 0.5246, test_f1: 0.3188
loss: 1.2808, acc: 0.4988, test_acc: 0.5260, test_f1: 0.2973
