loss: 0.9819, acc: 0.5066, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9610, acc: 0.5084, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1659, acc: 0.5064, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1115, acc: 0.5052, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1077, acc: 0.5037, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0725, acc: 0.5036, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1214, acc: 0.5022, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0773, acc: 0.5011, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9884, acc: 0.5018, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1216, acc: 0.5003, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0475, acc: 0.5003, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0232, acc: 0.5007, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9803, acc: 0.5017, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1340, acc: 0.5000, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0150, acc: 0.5003, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0350, acc: 0.5003, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0719, acc: 0.4997, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1564, acc: 0.4978, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9831, acc: 0.4987, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1613, acc: 0.4978, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9552, acc: 0.4994, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0709, acc: 0.4991, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0043, acc: 0.4997, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0931, acc: 0.4994, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0518, acc: 0.4994, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0361, acc: 0.4991, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1696, acc: 0.4980, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0132, acc: 0.4983, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0234, acc: 0.4983, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9306, acc: 0.4997, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1137, acc: 0.4986, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9654, acc: 0.4997, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9728, acc: 0.5008, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9917, acc: 0.5016, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0202, acc: 0.5022, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0002, acc: 0.5027, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0101, acc: 0.5032, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1984, acc: 0.5011, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0124, acc: 0.5013, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0332, acc: 0.5010, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1194, acc: 0.4997, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1667, acc: 0.4985, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0477, acc: 0.4985, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0763, acc: 0.4980, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0498, acc: 0.4983, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9984, acc: 0.4990, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0513, acc: 0.4990, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0335, acc: 0.4993, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9030, acc: 0.5007, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9915, acc: 0.5014, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9897, acc: 0.5014, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9662, acc: 0.5021, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0506, acc: 0.5023, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0295, acc: 0.5028, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1349, acc: 0.5019, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9448, acc: 0.5028, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0813, acc: 0.5023, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0409, acc: 0.5023, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1578, acc: 0.5011, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1027, acc: 0.5004, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1002, acc: 0.4998, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0866, acc: 0.4991, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0719, acc: 0.4987, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0436, acc: 0.4991, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0680, acc: 0.4991, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9739, acc: 0.4998, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1315, acc: 0.4989, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9884, acc: 0.4994, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0509, acc: 0.4994, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1621, acc: 0.4977, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0165, acc: 0.4979, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1003, acc: 0.4973, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0123, acc: 0.4975, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9729, acc: 0.4982, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0132, acc: 0.4984, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0491, acc: 0.4984, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1146, acc: 0.4980, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0263, acc: 0.4980, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0118, acc: 0.4984, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0440, acc: 0.4982, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9855, acc: 0.4988, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1124, acc: 0.4979, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9585, acc: 0.4987, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1399, acc: 0.4977, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0710, acc: 0.4975, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9634, acc: 0.4981, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0401, acc: 0.4981, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9670, acc: 0.4987, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1281, acc: 0.4980, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1039, acc: 0.4972, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0112, acc: 0.4976, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0215, acc: 0.4978, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1752, acc: 0.4966, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9987, acc: 0.4969, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9251, acc: 0.4977, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9579, acc: 0.4982, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0379, acc: 0.4981, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0517, acc: 0.4977, test_acc: 0.5000, test_f1: 0.2222
loss: 1.1171, acc: 0.4970, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0820, acc: 0.4967, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9719, acc: 0.4971, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9584, acc: 0.4976, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9830, acc: 0.4980, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0141, acc: 0.4978, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9873, acc: 0.4981, test_acc: 0.5000, test_f1: 0.2222
loss: 1.0231, acc: 0.4980, test_acc: 0.5000, test_f1: 0.2222
loss: 0.9955, acc: 0.4977, test_acc: 0.5014, test_f1: 0.2263
loss: 0.9787, acc: 0.4977, test_acc: 0.5043, test_f1: 0.2342
loss: 0.9059, acc: 0.4982, test_acc: 0.5029, test_f1: 0.2303
loss: 1.0760, acc: 0.4977, test_acc: 0.5332, test_f1: 0.3231
loss: 0.9588, acc: 0.4975, test_acc: 0.5564, test_f1: 0.4639
loss: 1.0048, acc: 0.4979, test_acc: 0.5650, test_f1: 0.4250
loss: 0.8330, acc: 0.4987, test_acc: 0.5405, test_f1: 0.3642
loss: 0.8829, acc: 0.4994, test_acc: 0.5650, test_f1: 0.4226
loss: 0.9691, acc: 0.4992, test_acc: 0.5578, test_f1: 0.4392
loss: 0.9704, acc: 0.4987, test_acc: 0.6040, test_f1: 0.5836
loss: 0.8545, acc: 0.4997, test_acc: 0.6185, test_f1: 0.6112
loss: 0.8732, acc: 0.4997, test_acc: 0.5838, test_f1: 0.4873
loss: 0.9603, acc: 0.4994, test_acc: 0.5925, test_f1: 0.5405
loss: 0.7770, acc: 0.5000, test_acc: 0.6156, test_f1: 0.5928
loss: 0.7946, acc: 0.5008, test_acc: 0.5997, test_f1: 0.5316
loss: 0.9166, acc: 0.5011, test_acc: 0.6127, test_f1: 0.5729
loss: 0.7626, acc: 0.5017, test_acc: 0.6286, test_f1: 0.6167
loss: 0.8115, acc: 0.5018, test_acc: 0.6272, test_f1: 0.6235
loss: 0.9831, acc: 0.5021, test_acc: 0.6301, test_f1: 0.6189
loss: 0.8509, acc: 0.5024, test_acc: 0.6402, test_f1: 0.6126
loss: 0.8258, acc: 0.5035, test_acc: 0.6431, test_f1: 0.6343
loss: 0.7817, acc: 0.5041, test_acc: 0.6460, test_f1: 0.6366
loss: 0.6918, acc: 0.5051, test_acc: 0.6445, test_f1: 0.6215
loss: 0.7546, acc: 0.5055, test_acc: 0.6503, test_f1: 0.6165
loss: 0.7554, acc: 0.5064, test_acc: 0.6228, test_f1: 0.5693
loss: 0.8082, acc: 0.5072, test_acc: 0.6329, test_f1: 0.5975
loss: 0.9542, acc: 0.5075, test_acc: 0.6358, test_f1: 0.6303
loss: 0.7533, acc: 0.5082, test_acc: 0.6358, test_f1: 0.6340
loss: 0.6997, acc: 0.5084, test_acc: 0.6517, test_f1: 0.6329
loss: 0.9025, acc: 0.5085, test_acc: 0.6272, test_f1: 0.5920
loss: 0.8696, acc: 0.5086, test_acc: 0.6431, test_f1: 0.6080
loss: 0.8213, acc: 0.5092, test_acc: 0.6633, test_f1: 0.6343
loss: 0.6711, acc: 0.5103, test_acc: 0.6575, test_f1: 0.6385
loss: 0.8228, acc: 0.5105, test_acc: 0.6633, test_f1: 0.6510
loss: 0.6496, acc: 0.5116, test_acc: 0.6777, test_f1: 0.6542
loss: 0.9162, acc: 0.5118, test_acc: 0.6618, test_f1: 0.6217
loss: 0.6145, acc: 0.5129, test_acc: 0.6575, test_f1: 0.6318
loss: 0.7172, acc: 0.5141, test_acc: 0.6329, test_f1: 0.6166
loss: 0.7411, acc: 0.5146, test_acc: 0.6532, test_f1: 0.6208
loss: 0.8089, acc: 0.5149, test_acc: 0.6879, test_f1: 0.6577
loss: 0.7111, acc: 0.5158, test_acc: 0.6806, test_f1: 0.6668
loss: 0.7036, acc: 0.5169, test_acc: 0.6922, test_f1: 0.6810
loss: 0.8080, acc: 0.5173, test_acc: 0.6850, test_f1: 0.6749
loss: 0.7796, acc: 0.5177, test_acc: 0.6850, test_f1: 0.6683
loss: 0.5378, acc: 0.5189, test_acc: 0.6821, test_f1: 0.6691
loss: 0.7648, acc: 0.5197, test_acc: 0.6893, test_f1: 0.6707
loss: 0.9586, acc: 0.5197, test_acc: 0.6777, test_f1: 0.6555
loss: 0.7422, acc: 0.5204, test_acc: 0.6879, test_f1: 0.6789
