loss: 1.4260, acc: 0.3580, test_acc: 0.4234, test_f1: 0.3275
loss: 1.3874, acc: 0.3613, test_acc: 0.3839, test_f1: 0.3018
loss: 1.3567, acc: 0.3652, test_acc: 0.5750, test_f1: 0.4064
loss: 1.3968, acc: 0.3672, test_acc: 0.5703, test_f1: 0.3575
loss: 1.4037, acc: 0.3691, test_acc: 0.5766, test_f1: 0.3510
loss: 1.3617, acc: 0.3725, test_acc: 0.5829, test_f1: 0.3897
loss: 1.3830, acc: 0.3750, test_acc: 0.5877, test_f1: 0.4020
loss: 1.3755, acc: 0.5938, test_acc: 0.5829, test_f1: 0.3654
loss: 1.3738, acc: 0.5625, test_acc: 0.6019, test_f1: 0.4073
loss: 1.3532, acc: 0.6042, test_acc: 0.6177, test_f1: 0.4631
loss: 1.4067, acc: 0.6016, test_acc: 0.6288, test_f1: 0.4586
loss: 1.3339, acc: 0.6125, test_acc: 0.6145, test_f1: 0.4260
loss: 1.4327, acc: 0.6094, test_acc: 0.6319, test_f1: 0.4631
loss: 1.3262, acc: 0.6161, test_acc: 0.6603, test_f1: 0.5345
loss: 1.3825, acc: 0.6094, test_acc: 0.6367, test_f1: 0.4532
loss: 1.3457, acc: 0.6076, test_acc: 0.6588, test_f1: 0.4857
loss: 1.2660, acc: 0.6312, test_acc: 0.6983, test_f1: 0.5796
loss: 1.2868, acc: 0.6392, test_acc: 0.7077, test_f1: 0.5922
loss: 1.2709, acc: 0.6458, test_acc: 0.6935, test_f1: 0.5430
loss: 1.2471, acc: 0.6538, test_acc: 0.6888, test_f1: 0.5225
loss: 1.2465, acc: 0.6540, test_acc: 0.6904, test_f1: 0.5409
loss: 1.1835, acc: 0.6562, test_acc: 0.7014, test_f1: 0.5788
loss: 1.1803, acc: 0.6660, test_acc: 0.7251, test_f1: 0.6135
loss: 1.2991, acc: 0.6673, test_acc: 0.7283, test_f1: 0.6126
loss: 1.2532, acc: 0.6667, test_acc: 0.7077, test_f1: 0.5723
loss: 1.2410, acc: 0.6711, test_acc: 0.7093, test_f1: 0.5935
loss: 1.2462, acc: 0.6750, test_acc: 0.7172, test_f1: 0.6118
loss: 1.2684, acc: 0.6801, test_acc: 0.7188, test_f1: 0.6112
loss: 1.1833, acc: 0.6804, test_acc: 0.7409, test_f1: 0.6503
loss: 1.2705, acc: 0.6834, test_acc: 0.7346, test_f1: 0.6356
loss: 1.2098, acc: 0.6901, test_acc: 0.7378, test_f1: 0.6440
loss: 1.2494, acc: 0.6925, test_acc: 0.7204, test_f1: 0.6341
loss: 1.1528, acc: 0.6983, test_acc: 0.7378, test_f1: 0.6467
loss: 1.2725, acc: 0.6968, test_acc: 0.7425, test_f1: 0.6517
loss: 1.2761, acc: 0.6964, test_acc: 0.7504, test_f1: 0.6915
loss: 1.2578, acc: 0.6950, test_acc: 0.7504, test_f1: 0.6706
loss: 1.2676, acc: 0.6906, test_acc: 0.7141, test_f1: 0.5770
loss: 1.3075, acc: 0.6885, test_acc: 0.7425, test_f1: 0.6436
loss: 1.3751, acc: 0.6816, test_acc: 0.7536, test_f1: 0.7037
loss: 1.1730, acc: 0.6866, test_acc: 0.7583, test_f1: 0.6959
loss: 1.1645, acc: 0.6875, test_acc: 0.7378, test_f1: 0.6293
loss: 1.1872, acc: 0.6884, test_acc: 0.7409, test_f1: 0.6556
loss: 1.2362, acc: 0.6866, test_acc: 0.7409, test_f1: 0.6734
loss: 1.2490, acc: 0.6875, test_acc: 0.7567, test_f1: 0.6934
loss: 1.1765, acc: 0.6875, test_acc: 0.7567, test_f1: 0.6953
loss: 1.2526, acc: 0.6867, test_acc: 0.7393, test_f1: 0.6805
loss: 1.1492, acc: 0.6898, test_acc: 0.7630, test_f1: 0.7038
loss: 1.2057, acc: 0.6913, test_acc: 0.7567, test_f1: 0.6935
loss: 1.2323, acc: 0.6920, test_acc: 0.7457, test_f1: 0.6725
loss: 1.2234, acc: 0.6926, test_acc: 0.7583, test_f1: 0.6906
loss: 1.1816, acc: 0.6939, test_acc: 0.7472, test_f1: 0.6730
loss: 1.1123, acc: 0.6951, test_acc: 0.7520, test_f1: 0.6727
loss: 1.2394, acc: 0.6950, test_acc: 0.7488, test_f1: 0.6920
loss: 1.1301, acc: 0.6961, test_acc: 0.7725, test_f1: 0.7128
loss: 1.1872, acc: 0.6953, test_acc: 0.7457, test_f1: 0.6641
loss: 1.1887, acc: 0.6964, test_acc: 0.7662, test_f1: 0.6940
loss: 1.0827, acc: 0.7006, test_acc: 0.7362, test_f1: 0.6588
loss: 1.1745, acc: 0.7016, test_acc: 0.7441, test_f1: 0.6468
loss: 1.2213, acc: 0.7019, test_acc: 0.7283, test_f1: 0.6142
loss: 1.1224, acc: 0.7046, test_acc: 0.7488, test_f1: 0.6703
loss: 1.0228, acc: 0.7078, test_acc: 0.7709, test_f1: 0.7160
loss: 1.1781, acc: 0.7080, test_acc: 0.7788, test_f1: 0.7225
loss: 1.2170, acc: 0.7087, test_acc: 0.7773, test_f1: 0.7164
loss: 1.1127, acc: 0.7100, test_acc: 0.7615, test_f1: 0.6908
loss: 1.1451, acc: 0.7117, test_acc: 0.7504, test_f1: 0.6692
loss: 1.0413, acc: 0.7119, test_acc: 0.7725, test_f1: 0.7092
loss: 1.1158, acc: 0.7130, test_acc: 0.7773, test_f1: 0.7247
loss: 1.0597, acc: 0.7147, test_acc: 0.7567, test_f1: 0.6853
loss: 1.0889, acc: 0.7157, test_acc: 0.7472, test_f1: 0.6606
loss: 1.2099, acc: 0.7158, test_acc: 0.7662, test_f1: 0.6978
loss: 1.0654, acc: 0.7178, test_acc: 0.7709, test_f1: 0.7089
loss: 1.1135, acc: 0.7202, test_acc: 0.7709, test_f1: 0.7070
loss: 1.0140, acc: 0.7225, test_acc: 0.7488, test_f1: 0.6597
loss: 1.0871, acc: 0.7229, test_acc: 0.7251, test_f1: 0.6093
loss: 1.0731, acc: 0.7229, test_acc: 0.7646, test_f1: 0.7006
loss: 0.9672, acc: 0.7237, test_acc: 0.7804, test_f1: 0.7258
loss: 1.1383, acc: 0.7232, test_acc: 0.7662, test_f1: 0.6994
loss: 1.0997, acc: 0.7232, test_acc: 0.7615, test_f1: 0.6861
loss: 0.9765, acc: 0.7253, test_acc: 0.7472, test_f1: 0.6528
loss: 0.9467, acc: 0.7269, test_acc: 0.7567, test_f1: 0.6730
loss: 1.0753, acc: 0.7264, test_acc: 0.7678, test_f1: 0.6927
loss: 1.0429, acc: 0.7258, test_acc: 0.7567, test_f1: 0.6685
loss: 0.9150, acc: 0.7274, test_acc: 0.7441, test_f1: 0.6403
loss: 0.9555, acc: 0.7289, test_acc: 0.7599, test_f1: 0.6686
loss: 0.9143, acc: 0.7288, test_acc: 0.7583, test_f1: 0.6837
loss: 0.9363, acc: 0.7294, test_acc: 0.7536, test_f1: 0.6743
loss: 1.1264, acc: 0.7297, test_acc: 0.7725, test_f1: 0.7121
loss: 1.0096, acc: 0.7296, test_acc: 0.7583, test_f1: 0.6817
loss: 1.0812, acc: 0.7290, test_acc: 0.7630, test_f1: 0.6761
loss: 0.9665, acc: 0.7289, test_acc: 0.7678, test_f1: 0.6894
loss: 0.8694, acc: 0.7299, test_acc: 0.7662, test_f1: 0.6865
loss: 1.0418, acc: 0.7301, test_acc: 0.7520, test_f1: 0.6759
loss: 0.8949, acc: 0.7300, test_acc: 0.7630, test_f1: 0.6946
loss: 0.8140, acc: 0.7310, test_acc: 0.7788, test_f1: 0.7125
loss: 0.8463, acc: 0.7812, test_acc: 0.7488, test_f1: 0.6521
loss: 0.7362, acc: 0.8594, test_acc: 0.7472, test_f1: 0.6573
loss: 0.6620, acc: 0.8854, test_acc: 0.7583, test_f1: 0.6839
loss: 0.7348, acc: 0.8828, test_acc: 0.7630, test_f1: 0.6952
loss: 0.8696, acc: 0.8500, test_acc: 0.7504, test_f1: 0.6770
loss: 0.7948, acc: 0.8281, test_acc: 0.7536, test_f1: 0.6823
loss: 0.6268, acc: 0.8393, test_acc: 0.7536, test_f1: 0.6851
